review_id,transaction_id,customer_id,product_id,store_id,review_date,rating,sentiment,review_text
R00001,T0051954,C04919,P0049,S017,2023-01-15,5,Positive,Incredibly impressed with this item.
R00002,T0076448,C00212,P0027,S009,2023-07-26,5,Positive,Outstanding service and product quality!
R00003,T0050869,C06354,P0063,S018,2023-01-05,3,Neutral,"Decent product, does what it says."
R00004,T0069503,C05935,P0086,S005,2023-06-05,3,Neutral,"Decent product, does what it says."
R00005,T0088017,C00801,P0002,S014,2023-10-20,3,Neutral,"Average experience, could be better."
R00006,T0056963,C06455,P0097,S010,2023-03-01,5,Positive,"Amazing product, exceeded my expectations!"
R00007,T0138567,C07235,P0174,S021,2024-10-20,3,Neutral,Met my basic expectations.
R00008,T0088375,C03130,P0118,S019,2023-10-22,3,Neutral,Met my basic expectations.
R00009,T0031730,C03742,P0048,S012,2022-09-11,4,Positive,Incredibly impressed with this item.
R00010,T0000090,C06362,P0089,S011,2022-01-02,4,Positive,Outstanding service and product quality!
R00011,T0130670,C07534,P0098,S022,2024-08-23,5,Positive,"Amazing product, exceeded my expectations!"
R00012,T0136090,C04559,P0135,S006,2024-10-03,4,Positive,Best purchase I've made this year.
R00013,T0069098,C04339,P0141,S019,2023-06-02,1,Negative,"Not as described, very misleading."
R00014,T0127201,C09231,P0191,S015,2024-07-25,5,Positive,"Will definitely buy again, very satisfied."
R00015,T0039012,C01570,P0138,S002,2022-10-30,3,Neutral,"Product works fine, delivery was slow."
R00016,T0133564,C05300,P0212,S001,2024-09-15,4,Positive,"Great value for money, highly recommend."
R00017,T0108954,C02860,P0097,S003,2024-03-11,5,Positive,Fast shipping and excellent quality.
R00018,T0130770,C03622,P0034,S021,2024-08-24,5,Positive,"Will definitely buy again, very satisfied."
R00019,T0057713,C08799,P0191,S014,2023-03-07,5,Positive,Best purchase I've made this year.
R00020,T0089900,C00642,P0114,S025,2023-11-01,5,Positive,Best purchase I've made this year.
R00021,T0037465,C02465,P0196,S003,2022-10-20,4,Positive,"Great value for money, highly recommend."
R00022,T0132439,C08605,P0219,S023,2024-09-07,5,Positive,Incredibly impressed with this item.
R00023,T0054332,C04173,P0168,S016,2023-02-04,5,Positive,Best purchase I've made this year.
R00024,T0117816,C04534,P0069,S025,2024-05-17,4,Positive,"Will definitely buy again, very satisfied."
R00025,T0138916,C02738,P0208,S003,2024-10-22,4,Positive,Incredibly impressed with this item.
R00026,T0069516,C01196,P0052,S014,2023-06-05,4,Positive,"Perfect for my needs, love the quality."
R00027,T0019510,C01978,P0213,S008,2022-06-08,2,Negative,Extremely unhappy with this product.
R00028,T0079302,C07005,P0022,S003,2023-08-18,5,Positive,Best purchase I've made this year.
R00029,T0029748,C03888,P0205,S007,2022-08-26,3,Neutral,Nothing special but gets the job done.
R00030,T0006185,C03974,P0075,S017,2022-02-26,4,Positive,"Great value for money, highly recommend."
R00031,T0148269,C09557,P0070,S005,2024-12-14,3,Neutral,Met my basic expectations.
R00032,T0136730,C03460,P0225,S014,2024-10-08,5,Positive,"Amazing product, exceeded my expectations!"
R00033,T0105144,C05585,P0074,S002,2024-02-06,1,Negative,"Worst purchase ever, do not recommend."
R00034,T0111834,C05847,P0205,S011,2024-04-02,4,Positive,"Great value for money, highly recommend."
R00035,T0122753,C01901,P0053,S012,2024-06-22,3,Neutral,"Decent product, does what it says."
R00036,T0065051,C01646,P0169,S023,2023-05-03,4,Positive,Fast shipping and excellent quality.
R00037,T0109109,C02859,P0217,S021,2024-03-12,4,Positive,"Perfect for my needs, love the quality."
R00038,T0131870,C00547,P0093,S008,2024-09-02,3,Neutral,Met my basic expectations.
R00039,T0098704,C04224,P0186,S015,2023-12-20,4,Positive,Fast shipping and excellent quality.
R00040,T0096374,C06379,P0184,S003,2023-12-07,4,Positive,"Amazing product, exceeded my expectations!"
R00041,T0124071,C02555,P0176,S012,2024-07-01,5,Positive,"Great value for money, highly recommend."
