product_id,product_name,category,subcategory,brand,unit_cost,unit_price,margin_pct,supplier,reorder_level,weight_kg
P0001,ValuePro Smartphone 941,Electronics,Smartphone,NovaBrand,337.93,768.72,56.0,Supplier_26,30,8.08
P0002,SmartPick Smartphone 317,Electronics,Smartphone,TechEdge,31.14,80.94,61.5,Supplier_13,39,2.94
P0003,EliteChoice Smartphone 864,Electronics,Smartphone,NatureCo,60.15,133.07,54.8,Supplier_29,47,8.05
P0004,TechEdge Smartphone 193,Electronics,Smartphone,NovaBrand,91.63,261.07,64.9,Supplier_28,17,3.14
P0005,AlphaLine Smartphone 494,Electronics,Smartphone,NatureCo,68.19,142.71,52.2,Supplier_20,39,10.63
P0006,NovaBrand Smartphone 796,Electronics,Smartphone,AlphaLine,388.58,957.83,59.4,Supplier_22,44,15.04
P0007,EliteChoice Smartphone 545,Electronics,Smartphone,PrimePlus,308.6,502.66,38.6,Supplier_15,10,19.08
P0008,PrimePlus Smartphone 619,Electronics,Smartphone,AlphaLine,350.96,544.42,35.5,Supplier_28,50,6.04
P0009,PrimePlus Laptop 652,Electronics,Laptop,NovaBrand,245.54,356.44,31.1,Supplier_20,30,9.82
P0010,EliteChoice Laptop 345,Electronics,Laptop,NovaBrand,49.19,81.33,39.5,Supplier_08,46,18.94
P0011,AlphaLine Laptop 878,Electronics,Laptop,PrimePlus,38.83,69.89,44.4,Supplier_05,40,18.94
P0012,NatureCo Laptop 316,Electronics,Laptop,ValuePro,70.23,130.31,46.1,Supplier_23,29,8.04
P0013,TechEdge Laptop 223,Electronics,Laptop,ValuePro,270.32,450.06,39.9,Supplier_08,14,6.83
P0014,ValuePro Laptop 107,Electronics,Laptop,AlphaLine,237.38,360.79,34.2,Supplier_23,50,1.27
P0015,SmartPick Laptop 172,Electronics,Laptop,ValuePro,31.62,42.88,26.3,Supplier_09,41,4.36
P0016,TechEdge Laptop 348,Electronics,Laptop,TechEdge,57.26,152.37,62.4,Supplier_26,36,3.89
P0017,NatureCo Laptop 520,Electronics,Laptop,TechEdge,43.29,74.95,42.2,Supplier_28,13,13.5
P0018,NatureCo Laptop 845,Electronics,Laptop,SmartPick,393.75,554.08,28.9,Supplier_26,16,5.05
P0019,PrimePlus Tablet 385,Electronics,Tablet,TechEdge,216.83,312.47,30.6,Supplier_08,14,8.92
P0020,NovaBrand Tablet 767,Electronics,Tablet,NovaBrand,345.23,651.54,47.0,Supplier_03,25,3.41
P0021,NatureCo Tablet 160,Electronics,Tablet,PrimePlus,196.83,296.21,33.5,Supplier_13,10,19.71
P0022,TechEdge Tablet 392,Electronics,Tablet,NatureCo,109.76,251.53,56.4,Supplier_23,45,13.27
P0023,ValuePro Tablet 159,Electronics,Tablet,NovaBrand,197.24,292.62,32.6,Supplier_24,30,1.24
P0024,PrimePlus Tablet 158,Electronics,Tablet,AlphaLine,235.75,429.53,45.1,Supplier_28,21,1.46
P0025,NatureCo Tablet 222,Electronics,Tablet,ValuePro,31.84,78.56,59.5,Supplier_19,48,0.89
P0026,SmartPick Headphones 367,Electronics,Headphones,ValuePro,170.59,330.26,48.3,Supplier_22,30,4.85
P0027,EliteChoice Headphones 568,Electronics,Headphones,SmartPick,161.34,335.2,51.9,Supplier_30,14,0.29
